,model,dataset,mode,path,value
33,resnet,cityscapes,RGB_HHAlat,../models/temp/models/cityscapes_hha_latefusion/2020_04_07/best_pred.txt,0.7232386323761913
76,resnet,cityscapes,RGBD,../models/temp/models/cityscapes_synthetic/2020_04_10a/best_pred.txt,0.7224999235530998
74,resnet,cityscapes,RGBD,../models/temp/models/cityscapes_synthetic/2020_04_06/best_pred.txt,0.7224999235530998
48,resnet,cityscapes,RGB,../models/temp/models/cityscapes_rgb/experiment_1/best_pred.txt,0.7206803673894441
72,resnet,cityscapes,RGBD,../models/temp/models/cityscapes_synthetic/2020-03-23/best_pred.txt,0.7196329860822169
32,resnet,cityscapes,RGB_HHAlat,../models/temp/models/cityscapes_hha_latefusion/2020_04_06/best_pred.txt,0.6918642241773358
9,xception,cityscapes,RGBD,../models/chameleon_run/run/cityscapes/cityscapes_rgbd_xception_fine/2020_04_26-20_04_07/best_pred.txt,0.6893431385023168
8,xception,cityscapes,RGBD,../models/chameleon_run/run/cityscapes/cityscapes_rgbd_xception_fine/2020_04_24-01_43_04/best_pred.txt,0.6842758388230359
41,xception,cityscapes,RGB_HHAmid,../models/temp/models/cityscapes_midfusion_xception/2020_04_23/best_pred.txt,0.6772104655257539
3,xception,cityscapes,RGB,../models/chameleon_run/run/cityscapes/cityscapes_rgb_xception_pt_fine/2020_04_26-20_05_51/best_pred.txt,0.6768811127569146
15,xception,cityscapes,RGBD,../models/chameleon_run/run/cityscapes/cityscapes_synth_rgbd_xception_fine/2020_04_24-16_25_56/best_pred.txt,0.6680753150363795
2,xception,cityscapes,RGB,../models/chameleon_run/run/cityscapes/cityscapes_rgb_xception_pt_fine/2020_04_24-15_13_12/best_pred.txt,0.6646046596313497
47,resnet,cityscapes,RGB,../models/temp/models/cityscapes_rgb/experiment_0/best_pred.txt,0.5836103200391806
93,resnet,scenenet,RGBD,../models/temp/models/scenenet_rgbd_resnet_deeplab/2020-03-24/best_pred.txt,0.43569888957269864
16,xception,cityscapes,RGBD,../models/chameleon_run/run/cityscapes/cityscapes_synth_rgbd_xception_fine/2020_04_26-20_05_04/best_pred.txt,0.4266235163509168
42,xception,cityscapes,RGB_HHAmid,../models/temp/models/cityscapes_midfusion_xception_pt/2020_04_18/best_pred.txt,0.41531881324331493
92,resnet,scenenet,RGBD,../models/temp/models/scenenet_rgbd_resnet_deeplab/2020-03-14/best_pred.txt,0.4150732475117129
89,resnet,coco,RGB,../models/temp/models/coco_rgb_resnet_scratch/2020_04_10/best_pred.txt,0.4023034444352819
30,resnet,coco,RGB,../models/chameleon_run/run/coco/coco_rgb_resnet_scratch/2020_04_10/best_pred.txt,0.4023034444352819
27,resnet,coco,RGB,../models/chameleon_run/run/coco/coco_rgb_resnet_scratch/2020-03-29/best_pred.txt,0.3975644328221293
86,resnet,coco,RGB,../models/temp/models/coco_rgb_resnet_scratch/2020-03-29/best_pred.txt,0.3975644328221293
84,resnet,coco,RGB,../models/temp/models/coco_rgb_resnet_deeplab/2020_04_10/best_pred.txt,0.3905046061194473
25,resnet,coco,RGB,../models/chameleon_run/run/coco/coco_rgb_resnet_deeplab/2020_04_10/best_pred.txt,0.3905046061194473
22,resnet,coco,RGB,../models/chameleon_run/run/coco/coco_rgb_resnet_deeplab/2020-03-13/best_pred.txt,0.38956952881211027
81,resnet,coco,RGB,../models/temp/models/coco_rgb_resnet_deeplab/2020-03-13/best_pred.txt,0.38956952881211027
31,resnet,coco,RGBD,../models/chameleon_run/run/coco/coco_rgbd_resnet/2020_04_24-15_35_25/best_pred.txt,0.38892503996915084
26,resnet,coco,RGB,../models/chameleon_run/run/coco/coco_rgb_resnet_scratch/2020-03-28/best_pred.txt,0.38212836308795456
85,resnet,coco,RGB,../models/temp/models/coco_rgb_resnet_scratch/2020-03-28/best_pred.txt,0.38212836308795456
91,resnet,coco,RGBD,../models/temp/models/coco_rgbd_resnet_deeplab/2020_04_10/best_pred.txt,0.369436157592011
88,resnet,coco,RGB,../models/temp/models/coco_rgb_resnet_scratch/2020_04_07/best_pred.txt,0.35616634659595264
29,resnet,coco,RGB,../models/chameleon_run/run/coco/coco_rgb_resnet_scratch/2020_04_07/best_pred.txt,0.35616634659595264
21,resnet,coco,RGB,../models/chameleon_run/run/coco/coco_rgb_resnet_deeplab/2020-03-10/best_pred.txt,0.35076142540378963
80,resnet,coco,RGB,../models/temp/models/coco_rgb_resnet_deeplab/2020-03-10/best_pred.txt,0.35076142540378963
78,resnet,coco,RGB,../models/temp/models/coco_rgb_resnet_deeplab/2020-03-06/best_pred.txt,0.347207765960594
79,resnet,coco,RGB,../models/temp/models/coco_rgb_resnet_deeplab/2020-03-07/best_pred.txt,0.347207765960594
19,resnet,coco,RGB,../models/chameleon_run/run/coco/coco_rgb_resnet_deeplab/2020-03-06/best_pred.txt,0.347207765960594
20,resnet,coco,RGB,../models/chameleon_run/run/coco/coco_rgb_resnet_deeplab/2020-03-07/best_pred.txt,0.347207765960594
83,resnet,coco,RGB,../models/temp/models/coco_rgb_resnet_deeplab/2020_04_07/best_pred.txt,0.3446747612679371
24,resnet,coco,RGB,../models/chameleon_run/run/coco/coco_rgb_resnet_deeplab/2020_04_07/best_pred.txt,0.3446747612679371
82,resnet,coco,RGB,../models/temp/models/coco_rgb_resnet_deeplab/2020_04_06/best_pred.txt,0.33741893207332113
23,resnet,coco,RGB,../models/chameleon_run/run/coco/coco_rgb_resnet_deeplab/2020_04_06/best_pred.txt,0.33741893207332113
87,resnet,coco,RGB,../models/temp/models/coco_rgb_resnet_scratch/2020_04_06/best_pred.txt,0.33548264405905664
28,resnet,coco,RGB,../models/chameleon_run/run/coco/coco_rgb_resnet_scratch/2020_04_06/best_pred.txt,0.33548264405905664
90,resnet,coco,RGBD,../models/temp/models/coco_rgbd_resnet_deeplab/2020-02-24/best_pred.txt,0.32398833255675574
77,resnet,coco,RGB,../models/temp/models/coco_rgb_resnet_deeplab/2020-02-29/best_pred.txt,0.2093124323737438
18,resnet,coco,RGB,../models/chameleon_run/run/coco/coco_rgb_resnet_deeplab/2020-02-29/best_pred.txt,0.2093124323737438
94,resnet,sunrgbd,RGBD,../models/temp/models/sunrgbd_rgbd_resnet_deeplab/2020-02-26/best_pred.txt,0.09806867293296823
